antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
frozenset({'bottled water'}),frozenset({'UHT-milk'}),0.06068301811134131,0.021386085678005748,0.0010693042839002875,0.01762114537444934,0.8239537444933921,-0.0002284679406288324,0.9961675271349449,-0.18531184790169258
frozenset({'UHT-milk'}),frozenset({'bottled water'}),0.021386085678005748,0.06068301811134131,0.0010693042839002875,0.05,0.8239537444933921,-0.0002284679406288324,0.9887547177775354,-0.17920403587443948
frozenset({'UHT-milk'}),frozenset({'other vegetables'}),0.021386085678005748,0.12210118291786407,0.002138608567800575,0.1,0.818992884510126,-0.0004726577914667177,0.975443130091262,-0.18423398328690796
frozenset({'other vegetables'}),frozenset({'UHT-milk'}),0.12210118291786407,0.021386085678005748,0.002138608567800575,0.01751505199781062,0.8189928845101259,-0.0004726577914667177,0.996059956248626,-0.20111901721097114
frozenset({'UHT-milk'}),frozenset({'rolls/buns'}),0.021386085678005748,0.11000467820624206,0.001804450979081735,0.08437499999999999,0.7670128341433778,-0.0005481184940184093,0.9720085425733875,-0.23687268375540452
frozenset({'rolls/buns'}),frozenset({'UHT-milk'}),0.11000467820624206,0.021386085678005748,0.001804450979081735,0.016403402187120292,0.767012834143378,-0.0005481184940184093,0.9949342204904278,-0.2544569729492118
frozenset({'root vegetables'}),frozenset({'UHT-milk'}),0.06957160997126245,0.021386085678005748,0.0010024727661565194,0.01440922190201729,0.6737662103746397,-0.00048539164544569836,0.9929211352916141,-0.34227807436103375
frozenset({'UHT-milk'}),frozenset({'root vegetables'}),0.021386085678005748,0.06957160997126245,0.0010024727661565194,0.046875,0.6737662103746397,-0.00048539164544569836,0.9761871633088394,-0.33100328947368424
frozenset({'sausage'}),frozenset({'UHT-milk'}),0.06034886052262247,0.021386085678005748,0.0011361358016440553,0.018826135105204873,0.8802983111849391,-0.0001544901000627675,0.9973909307367504,-0.12641762515121946
frozenset({'UHT-milk'}),frozenset({'sausage'}),0.021386085678005748,0.06034886052262247,0.0011361358016440553,0.053125,0.8802983111849391,-0.0001544901000627675,0.9923708403721478,-0.1219984480812641
frozenset({'soda'}),frozenset({'UHT-milk'}),0.09710619528169484,0.021386085678005748,0.0012697988371315912,0.01307639366827254,0.6114439951823814,-0.0008069225750278921,0.99158020746852,-0.41308279581939533
frozenset({'UHT-milk'}),frozenset({'soda'}),0.021386085678005748,0.09710619528169484,0.0012697988371315912,0.059375,0.6114439951823814,-0.0008069225750278921,0.9598871013616532,-0.3937042364016736
frozenset({'UHT-milk'}),frozenset({'tropical fruit'}),0.021386085678005748,0.0677671589921807,0.0015371249081066632,0.07187500000000001,1.0606169871794875,8.785063974484889e-05,1.0044259566414215,0.058401551119543774
frozenset({'tropical fruit'}),frozenset({'UHT-milk'}),0.0677671589921807,0.021386085678005748,0.0015371249081066632,0.022682445759368838,1.0606169871794873,8.785063974484889e-05,1.0013264471468237,0.06130718424571507
frozenset({'UHT-milk'}),frozenset({'whole milk'}),0.021386085678005748,0.15792287642852368,0.0025395976742631824,0.11875,0.7519493228946255,-0.0008377544915543393,0.9555485090172782,-0.2521048387096774
frozenset({'whole milk'}),frozenset({'UHT-milk'}),0.15792287642852368,0.021386085678005748,0.0025395976742631824,0.01608125264494287,0.7519493228946256,-0.0008377544915543393,0.9946084643195151,-0.28147594565148876
frozenset({'UHT-milk'}),frozenset({'yogurt'}),0.021386085678005748,0.08587850030074183,0.0011361358016440553,0.053125,0.6186065175097276,-0.0007004691636862518,0.9654088445668733,-0.38650680205047316
frozenset({'yogurt'}),frozenset({'UHT-milk'}),0.08587850030074183,0.021386085678005748,0.0011361358016440553,0.013229571984435798,0.6186065175097276,-0.0007004691636862518,0.9917341324162166,-0.40279179668939663
frozenset({'beef'}),frozenset({'bottled beer'}),0.03395041101383412,0.04531176903027468,0.0010693042839002875,0.03149606299212599,0.6950967412259309,-0.00046904889844145785,0.9857350027085783,-0.3122725218260103
frozenset({'bottled beer'}),frozenset({'beef'}),0.04531176903027468,0.03395041101383412,0.0010693042839002875,0.02359882005899705,0.6950967412259309,-0.00046904889844145785,0.9893982195356805,-0.3148188119049331
frozenset({'bottled water'}),frozenset({'beef'}),0.06068301811134131,0.03395041101383412,0.0013366303548753592,0.022026431718061675,0.6487824759790489,-0.0007235830515646183,0.9878074626119804,-0.3656116848414819
frozenset({'beef'}),frozenset({'bottled water'}),0.03395041101383412,0.06068301811134131,0.0013366303548753592,0.03937007874015749,0.6487824759790489,-0.0007235830515646183,0.9778135795070463,-0.3591278286160176
frozenset({'brown bread'}),frozenset({'beef'}),0.03762614448974136,0.03395041101383412,0.0015371249081066632,0.04085257548845471,1.2033013524286376,0.00025970183781403406,1.0071961455540952,0.17555857487922719
frozenset({'beef'}),frozenset({'brown bread'}),0.03395041101383412,0.03762614448974136,0.0015371249081066632,0.045275590551181105,1.2033013524286376,0.00025970183781403406,1.008012203297343,0.17489058998691606
frozenset({'butter'}),frozenset({'beef'}),0.03522020985096572,0.03395041101383412,0.0011361358016440553,0.03225806451612903,0.9501524003048006,-5.9604798789720127e-05,0.9982512419523714,-0.05157348400236508
frozenset({'beef'}),frozenset({'butter'}),0.03395041101383412,0.03522020985096572,0.0011361358016440553,0.03346456692913386,0.9501524003048006,-5.9604798789720127e-05,0.9981835710706913,-0.05150918635170597
frozenset({'beef'}),frozenset({'canned beer'}),0.03395041101383412,0.04691572545612511,0.0010024727661565194,0.029527559055118113,0.629374453193351,-0.0005903353960911282,0.982082781882938,-0.3787178076539558
frozenset({'canned beer'}),frozenset({'beef'}),0.04691572545612511,0.03395041101383412,0.0010024727661565194,0.021367521367521368,0.629374453193351,-0.0005903353960911282,0.98714237477189,-0.3819021861618209
frozenset({'citrus fruit'}),frozenset({'beef'}),0.05313105660629553,0.03395041101383412,0.001804450979081735,0.033962264150943396,1.000349130886941,6.297696987149579e-07,1.0000122698489609,0.0003685927598971325
frozenset({'beef'}),frozenset({'citrus fruit'}),0.03395041101383412,0.05313105660629553,0.001804450979081735,0.0531496062992126,1.000349130886941,6.297696987149579e-07,1.0000195909438707,0.0003612744532841628
frozenset({'beef'}),frozenset({'curd'}),0.03395041101383412,0.03368308494285905,0.0012697988371315912,0.03740157480314961,1.110396356705412,0.00012624425910763896,1.0038629710614062,0.10291467166706114
frozenset({'curd'}),frozenset({'beef'}),0.03368308494285905,0.03395041101383412,0.0012697988371315912,0.037698412698412696,1.1103963567054118,0.00012624425910763896,1.0038948306165518,0.10288620090928617
frozenset({'beef'}),frozenset({'domestic eggs'}),0.03395041101383412,0.037091492347791216,0.0011361358016440553,0.03346456692913386,0.9022167837128469,-0.0001231356086799397,0.9962474987521835,-0.10087302051927517
frozenset({'domestic eggs'}),frozenset({'beef'}),0.037091492347791216,0.03395041101383412,0.0011361358016440553,0.030630630630630633,0.9022167837128469,-0.0001231356086799397,0.9965753194931637,-0.10116878589383675
frozenset({'frankfurter'}),frozenset({'beef'}),0.037759807525228894,0.03395041101383412,0.0010024727661565194,0.026548672566371685,0.7819838338791724,-0.0002794882191282681,0.9923963959585159,-0.2246495180311976
frozenset({'beef'}),frozenset({'frankfurter'}),0.03395041101383412,0.037759807525228894,0.0010024727661565194,0.029527559055118113,0.7819838338791724,-0.0002794882191282681,0.9915172774385065,-0.22396206156048654
frozenset({'frozen vegetables'}),frozenset({'beef'}),0.028002405934638777,0.03395041101383412,0.0012697988371315912,0.045346062052505964,1.3356557608103283,0.00031910564627437687,1.0119369444630086,0.25854394649991314
frozenset({'beef'}),frozenset({'frozen vegetables'}),0.03395041101383412,0.028002405934638777,0.0012697988371315912,0.03740157480314961,1.3356557608103283,0.00031910564627437687,1.0097643717488824,0.2601358116841741
frozenset({'fruit/vegetable juice'}),frozenset({'beef'}),0.03401724253157789,0.03395041101383412,0.0010693042839002875,0.031434184675834975,0.9258852466624385,-8.559508160406091e-05,0.997402111143932,-0.07652498921845766
frozenset({'beef'}),frozenset({'fruit/vegetable juice'}),0.03395041101383412,0.03401724253157789,0.0010693042839002875,0.03149606299212599,0.9258852466624385,-8.559508160406091e-05,0.9973968308820294,-0.07652010030186356
frozenset({'margarine'}),frozenset({'beef'}),0.03221279155249616,0.03395041101383412,0.001403461872619127,0.043568464730290454,1.2832971215734963,0.0003098243595089187,1.0100561863152537,0.2281051361225382
frozenset({'beef'}),frozenset({'margarine'}),0.03395041101383412,0.03221279155249616,0.001403461872619127,0.04133858267716536,1.2832971215734963,0.0003098243595089187,1.0095193057316878,0.22851542554067625
frozenset({'newspapers'}),frozenset({'beef'}),0.038895943326872955,0.03395041101383412,0.001670787943594199,0.0429553264604811,1.2652373028113755,0.0003502546808760638,1.0094090857988305,0.21811835060148818
frozenset({'beef'}),frozenset({'newspapers'}),0.03395041101383412,0.038895943326872955,0.001670787943594199,0.04921259842519685,1.2652373028113755,0.0003502546808760638,1.0108506434574505,0.2170017295053616
frozenset({'beef'}),frozenset({'other vegetables'}),0.03395041101383412,0.12210118291786407,0.002806923745238254,0.08267716535433071,0.6771201013666396,-0.0013384616000985724,0.957022744801985,-0.33047707271885124
frozenset({'other vegetables'}),frozenset({'beef'}),0.12210118291786407,0.03395041101383412,0.002806923745238254,0.022988505747126436,0.6771201013666396,-0.0013384616000985724,0.9887801675505462,-0.35198066202950024
frozenset({'pastry'}),frozenset({'beef'}),0.0517275947336764,0.03395041101383412,0.0012029673193878234,0.023255813953488375,0.6849935909174145,-0.0005532057825775318,0.9890507696763128,-0.3265780730897009
frozenset({'beef'}),frozenset({'pastry'}),0.03395041101383412,0.0517275947336764,0.0012029673193878234,0.03543307086614174,0.6849935909174145,-0.0005532057825775318,0.9831069017863111,-0.3225065616797899
frozenset({'rolls/buns'}),frozenset({'beef'}),0.11000467820624206,0.03395041101383412,0.001603956425850431,0.014580801944106925,0.4294735029324251,-0.0021307476126960477,0.9803437875901535,-0.5988170671700992
frozenset({'beef'}),frozenset({'rolls/buns'}),0.03395041101383412,0.11000467820624206,0.001603956425850431,0.047244094488188976,0.4294735029324251,-0.0021307476126960477,0.9341273212215476,-0.5789683194656154
frozenset({'root vegetables'}),frozenset({'beef'}),0.06957160997126245,0.03395041101383412,0.001670787943594199,0.024015369836695485,0.7073661001308554,-0.0006911968098243214,0.9898204942269673,-0.30778058205698844
frozenset({'beef'}),frozenset({'root vegetables'}),0.03395041101383412,0.06957160997126245,0.001670787943594199,0.04921259842519685,0.7073661001308554,-0.0006911968098243214,0.978587209388403,-0.2998345371690742
frozenset({'beef'}),frozenset({'shopping bags'}),0.03395041101383412,0.04758404063356279,0.0012697988371315912,0.03740157480314961,0.7860109041847299,-0.0003456989000768492,0.9894218964379348,-0.21985604072218237
frozenset({'shopping bags'}),frozenset({'beef'}),0.04758404063356279,0.03395041101383412,0.0012697988371315912,0.026685393258426966,0.7860109041847297,-0.0003456989000768492,0.9925357970536077,-0.2223036005606488
